"country","consumption","pop2022"
"DR Congo","96.2400","99010.2120"
"Somalia","95.0300","17597.5110"
"Central African Republic","91.2600","5579.1440"
"Uganda","90.2200","47249.5850"
"Gabon","89.8800","2388.9920"
"Ethiopia","88.9200","123379.9240"
"Liberia","87.2400","5302.6810"
"Guinea-Bissau","86.2400","2105.5660"
"Tanzania","85.2200","65497.7480"
"Burundi","84.7700","12889.5760"
"Zambia","84.5000","20017.6750"
"Madagascar","82.7700","29611.7140"
"Bhutan","82.2700","782.4550"
"Zimbabwe","81.5000","16320.5370"
"Nigeria","81.4000","218541.2120"
"Iceland","81.0700","372.8990"
"Niger","80.8300","26207.9770"
"Cameroon","79.4100","27914.5360"
"Mozambique","78.0800","32969.5180"
"Rwanda","77.8600","13776.6980"
"Chad","77.7900","17723.3150"
"Nepal","77.3900","30547.5800"
"Mali","76.6400","22593.5900"
"Haiti","76.4000","11584.9960"
"Togo","76.2100","8848.6990"
"Sierra Leone","75.4400","8605.7180"
"Eritrea","73.6700","3684.0320"
"Malawi","73.0200","20405.3170"
"Republic of the Congo","68.6700","5970.4240"
"Kenya","68.0800","54027.4870"
"Eswatini","65.9500","1201.6700"
"Guinea","65.4400","13859.3410"
"Burkina Faso","64.8500","22673.7620"
"Guatemala","62.9200","17843.9080"
"Ivory Coast","62.4600","28160.5420"
"Norway","62.3700","5434.3190"
"Sudan","62.2300","46874.2040"
"Uruguay","60.7600","3422.7940"
"Paraguay","60.0900","6780.7440"
"Myanmar","57.8500","54179.3060"
"Liechtenstein","56.1300","39.3270"
"Angola","54.6900","35588.9870"
"Comoros","53.4300","836.7740"
"Cambodia","53.3600","16767.8420"
"Papua New Guinea","53.0900","10142.6190"
"Sweden","52.8800","10549.3470"
"Nicaragua","50.7100","6948.3920"
"Sri Lanka","49.9100","21832.1430"
"Gambia","49.2400","2705.9920"
"Laos","48.4300","7529.4750"
"Solomon Islands","48.3900","724.2730"
"Brazil","47.5700","215313.4980"
"Benin","46.4700","13352.8640"
"Honduras","45.9600","10432.8600"
"Finland","45.7600","5540.7450"
"Pakistan","43.4600","235824.8620"
"Ghana","41.8000","33475.8700"
"Latvia","41.5200","1850.6510"
"Albania","40.2000","2842.3210"
"Lesotho","39.4700","2305.8250"
"Montenegro","38.7400","627.0820"
"Tajikistan","38.5600","9952.7870"
"Denmark","37.5200","5882.2610"
"Senegal","37.2000","17316.4490"
"Sao Tome and Principe","37.0900","227.3800"
"Bosnia and Herzegovina","37.0200","3233.5260"
"Costa Rica","35.7900","5180.8290"
"Samoa","34.2100","222.3820"
"Austria","33.7700","8939.6170"
"Lithuania","33.5300","2750.0550"
"India","32.9300","1417173.1730"
"Croatia","31.6000","4030.3580"
"Estonia","31.2900","1326.0620"
"Colombia","30.7200","51874.0240"
"Namibia","30.6900","2567.0120"
"New Zealand","29.6500","5185.2880"
"Belize","29.0900","405.2720"
"Portugal","28.1900","10270.8650"
"Djibouti","27.9200","1120.8490"
"Kyrgyzstan","27.8800","6630.6230"
"Peru","27.1300","34049.5880"
"Philippines","26.7300","115559.0090"
"South Sudan","26.6500","10913.1640"
"Fiji","26.4800","929.7660"
"Botswana","25.5700","2630.2960"
"Chile","25.2600","19603.7330"
"Georgia","25.2200","3744.3850"
"Switzerland","24.7600","8740.4720"
"Bangladesh","24.7500","171186.3720"
"Mauritania","24.7000","4736.1390"
"Thailand","23.9600","71697.0300"
"Romania","23.5400","19659.2670"
"Canada","22.1100","38454.3270"
"Moldova","22.0400","3272.9960"
"Cuba","21.5400","11212.1910"
"Serbia","21.5300","7221.3650"
"Slovenia","20.8600","2119.8440"
"Bulgaria","19.3400","6781.9530"
"Indonesia","19.0900","275501.3390"
"Panama","18.9100","4408.5810"
"Vietnam","18.6500","98186.8560"
"Afghanistan","18.5100","41128.7710"
"Greece","18.5100","10384.9710"
"Andorra","18.4000","79.8240"
"Ecuador","17.7300","18001"
"Slovakia","17.6400","5643.4530"
"Italy","17.2700","59037.4740"
"Spain","17.2700","47558.6300"
"Germany","17.1700","83369.8430"
"Luxembourg","16.4500","647.5990"
"North Macedonia","16.3200","2093.5990"
"Czech Republic","15.8500","10493.9860"
"Venezuela","15.6200","28301.6960"
"France","15.5300","64626.6280"
"China","14.4500","1425887.3370"
"Suriname","14.4000","618.0400"
"Turkey","14.1200","85341.2410"
"Palestine","13.8600","5250.0720"
"Hungary","13.6400","9967.3080"
"Greenland","12.6000","56.4660"
"Ireland","12.3400","5023.1090"
"United Kingdom","12.2400","67508.9360"
"Tunisia","12.2000","12356.1170"
"Poland","12.1800","39857.1450"
"Cyprus","12.0500","1251.4880"
"Marshall Islands","11.7000","41.5690"
"Timor-Leste","11.6700","1341.2960"
"Guyana","11.3500","808.7260"
"North Korea","11.3100","26069.4160"
"Argentina","10.7400","45510.3180"
"Morocco","10.6900","37457.9710"
"South Africa","10.5000","59893.8850"
"United States","10.4200","338289.8570"
"Grenada","10.3700","125.4380"
"Mexico","10.3400","127504.1250"
"Armenia","10.3400","2780.4690"
"Belgium","10.2100","11655.9300"
"Australia","10.1300","26177.4130"
"Jamaica","9.0900","2827.3770"
"Mauritius","8.9400","1299.4690"
"Bolivia","8.6700","12224.1100"
"Netherlands","8.5400","17564.0140"
"Tuvalu","8.2000","11.3120"
"Jordan","8.1700","11285.8690"
"Dominica","8.0500","72.7370"
"Belarus","7.8300","9534.9540"
"Malta","7.7000","533.2860"
"Japan","7.6900","123951.6920"
"French Polynesia","7.6700","306.2790"
"Aruba","7.4800","106.4450"
"Ukraine","7.4400","39701.7390"
"Equatorial Guinea","6.4800","1674.9080"
"Saint Vincent and the Grenadines","5.6800","103.9480"
"Lebanon","5.4600","5489.7390"
"Faroe Islands","5.4000","53.0900"
"Egypt","5.3000","110990.1030"
"Malaysia","5.1100","33938.2210"
"Israel","4.4700","9038.3090"
"Barbados","4.3100","281.6350"
"United States Virgin Islands","3.6600","99.4650"
"South Korea","3.3600","51815.8100"
"Mongolia","3.3200","3398.3660"
"Russia","3.2200","144713.3140"
"Yemen","3.1100","33696.6140"
"Guam","3.0200","171.7740"
"Libya","2.8000","6812.3410"
"Curacao","2.6800","191.1630"
"Puerto Rico","2.4200","3252.4070"
"Isle of Man","1.9000","84.5190"
"Micronesia","1.7800","114.1640"
"Tonga","1.7700","106.8580"
"Kazakhstan","1.7000","19397.9980"
"Azerbaijan","1.6200","10358.0740"
"Saint Kitts and Nevis","1.5800","47.6570"
"Uzbekistan","1.5700","34627.6520"
"British Virgin Islands","1.2300","31.3050"
"Bahamas","1.1400","409.9840"
"Maldives","1.1100","523.7870"
"Syria","1.0200","22125.2490"
"Iran","0.9800","88550.5700"
"Antigua and Barbuda","0.9100","93.7630"
"Singapore","0.8400","5975.6890"
"Bermuda","0.8400","64.1840"
"United Arab Emirates","0.6700","9441.1290"
"Nauru","0.6100","12.6680"
"American Samoa","0.5000","44.2730"
"Iraq","0.4300","44496.1220"
"Trinidad and Tobago","0.3400","1531.0440"
"Palau","0.2900","18.0550"
"Hong Kong","0.2300","7488.8650"
"Algeria","0.1600","44903.2250"
"Turkmenistan","0.0600","6430.7700"
"Kuwait","0.0600","4268.8730"
"Sint Maarten","0.0500","44.1750"
"Qatar","0.0400","2695.1220"
"Saudi Arabia","0.0300","36408.8200"
"Brunei","0.0100","449.0020"
"Oman","0","4576.2980"
"Bahrain","0","1472.2330"
"Cayman Islands","0","68.7060"